respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.09543770866945037,0.2266951774769368
26708,0.04109480123294682,0.034809273939294755
26709,0.4604565288494308,0.6627840988176279
26710,0.45230893988701865,0.8777895572819789
26711,0.18136449305807997,0.5619859294765498
26712,0.3224683301220242,0.8965428753387126
26713,0.45116196708729106,0.5259917140346274
26714,0.15681858366861923,0.29990886668320854
26715,0.03705347887585527,0.15544008191523911
26716,0.13526830508474466,0.8253693900494197
26717,0.013205546668674146,0.4103879905399166
26718,0.15124720198470137,0.3487952485382114
26719,0.11800022342497411,0.9089035211877169
26720,0.08580018790066911,0.16408702790165633
26721,0.40240232737228365,0.40443094202822655
26722,0.058188831399355115,0.08183101327387853
26723,0.6873683222210824,0.8523119431564388
26724,0.10030923872663096,0.6042953592402952
26725,0.05515186484603854,0.09033294942271392
26726,0.017545950946937727,0.03800272710757513
26727,0.3291028489557278,0.8049929802262021
26728,0.19769603493640897,0.5175478174984339
26729,0.07493509319822997,0.31372796456433255
26730,0.03869901913519475,0.19948432147400055
26731,0.018905385766772816,0.3946716102917789
26732,0.15770851313044904,0.10027029018382011
26733,0.9045742425744323,0.9646873307119509
26734,0.8514850026909391,0.44469944122092314
26735,0.12207216710647108,0.465661559405555
26736,0.07619320120013279,0.17804127141855414
26737,0.09730993507618389,0.12237675895306566
26738,0.6495810876690342,0.907485819376331
26739,0.09812826065132271,0.18215531485101805
26740,0.18169071003894333,0.12206231599317513
26741,0.21363521115791176,0.926312116550085
26742,0.1445414019606607,0.450287682988446
26743,0.03065276576112522,0.4284356154636718
26744,0.04285100230124844,0.5530401566958005
26745,0.17008380485828656,0.9398475662600226
26746,0.11639595508431301,0.32773256136575435
26747,0.10098991818720704,0.39966420114834517
26748,0.13818290002363368,0.07329833020904591
26749,0.10559467849090291,0.6691176464918652
26750,0.6637741198905655,0.9295823772263309
26751,0.29366388944113103,0.7097525713093881
26752,0.03787259567127952,0.03562690185632125
26753,0.19726574665207552,0.6119673221399029
26754,0.1328303452537681,0.39219577627901525
26755,0.0804625219868728,0.2934485234396458
26756,0.0211641166150229,0.04577071835024029
26757,0.5365141653769341,0.5542960199416831
26758,0.6325650219902869,0.9005009516506293
26759,0.03976755041450441,0.22962769605936453
26760,0.0127718649768658,0.024694318298312968
26761,0.17584848328095853,0.6821749511669909
26762,0.10295433542085257,0.8417940618741676
26763,0.901463595009683,0.9878228629596966
26764,0.91610539099682,0.9718212204368819
26765,0.047253858113161185,0.6802732773337202
26766,0.15900539372473474,0.17252033821524546
26767,0.7699238731733463,0.7471928452909029
26768,0.015171218709458744,0.3672301369247911
26769,0.12831167105456104,0.17555905546428444
26770,0.1848510812054051,0.6198328715337498
26771,0.10882336893619385,0.19115628010861813
26772,0.07121025170522438,0.369109845473142
26773,0.02713596706358943,0.43235473406062563
26774,0.06342364791516705,0.5131272742314363
26775,0.08462277137351018,0.5624018801394279
26776,0.40444573766081665,0.35797490123726305
26777,0.15809281217194937,0.9123509573434105
26778,0.1176754164043899,0.15990557485693002
26779,0.07697868111062117,0.5102718859455755
26780,0.1870568321991376,0.9388922111788505
26781,0.04044054642302014,0.45465980530033984
26782,0.04147499558487505,0.3847741732568019
26783,0.07254445738364523,0.4280706887229756
26784,0.2777164821690333,0.8678741767940413
26785,0.39383868516060344,0.5955732928863073
